# control seed=11 started 2026-02-25T19:27:41.063081
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 11 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_11

Epoch 157 | Survival: 0.00 | Target: 0.00 | Reward A: 68.765
Epoch 158 | Survival: 0.10 | Target: 0.10 | Reward A: 69.372
Epoch 159 | Survival: 0.00 | Target: 0.00 | Reward A: 35.116
Epoch 160 | Survival: 0.10 | Target: 0.10 | Reward A: 60.573
Epoch 161 | Survival: 0.20 | Target: 0.20 | Reward A: 29.100
Epoch 162 | Survival: 0.00 | Target: 0.00 | Reward A: 67.402
Epoch 163 | Survival: 0.20 | Target: 0.20 | Reward A: 35.580
Epoch 164 | Survival: 0.00 | Target: 0.00 | Reward A: 52.444
Epoch 165 | Survival: 0.20 | Target: 0.20 | Reward A: 63.496
Epoch 166 | Survival: 0.10 | Target: 0.10 | Reward A: 57.326
Epoch 167 | Survival: 0.10 | Target: 0.10 | Reward A: 40.551
Epoch 168 | Survival: 0.20 | Target: 0.20 | Reward A: 60.318
Epoch 169 | Survival: 0.10 | Target: 0.10 | Reward A: 61.770
Epoch 170 | Survival: 0.00 | Target: 0.00 | Reward A: 59.243
Epoch 171 | Survival: 0.60 | Target: 0.60 | Reward A: 46.489
Epoch 172 | Survival: 0.00 | Target: 0.00 | Reward A: 32.019
Epoch 173 | Survival: 0.00 | Target: 0.00 | Reward A: 48.888
Epoch 174 | Survival: 0.00 | Target: 0.00 | Reward A: 58.881
Epoch 175 | Survival: 0.10 | Target: 0.10 | Reward A: 55.696
Epoch 176 | Survival: 0.00 | Target: 0.00 | Reward A: 52.796
Epoch 177 | Survival: 0.40 | Target: 0.40 | Reward A: 41.031
Epoch 178 | Survival: 0.10 | Target: 0.10 | Reward A: 48.318
Epoch 179 | Survival: 0.00 | Target: 0.00 | Reward A: 47.365
Epoch 180 | Survival: 0.30 | Target: 0.30 | Reward A: 60.787
Epoch 181 | Survival: 0.40 | Target: 0.40 | Reward A: 64.809
Epoch 182 | Survival: 0.30 | Target: 0.30 | Reward A: 50.769
Epoch 183 | Survival: 0.50 | Target: 0.50 | Reward A: 67.269
Epoch 184 | Survival: 0.00 | Target: 0.00 | Reward A: 59.978
Epoch 185 | Survival: 0.50 | Target: 0.50 | Reward A: 51.811
Epoch 186 | Survival: 0.00 | Target: 0.00 | Reward A: 29.877
Epoch 187 | Survival: 0.00 | Target: 0.00 | Reward A: 62.436
Epoch 188 | Survival: 0.00 | Target: 0.00 | Reward A: 34.411
Epoch 189 | Survival: 0.20 | Target: 0.20 | Reward A: 76.765
Epoch 190 | Survival: 0.00 | Target: 0.00 | Reward A: 64.019
Epoch 191 | Survival: 0.00 | Target: 0.00 | Reward A: 66.048
